date,mean_pressure,.geo
2019-08-01,100563.8128833932,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-02,100558.77678358754,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-03,100479.00607733277,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-04,100467.36474007793,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-05,100466.65472257602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-06,100386.87548975945,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-07,100334.60580185923,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-08,100402.13480770355,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-09,100434.79235923402,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-10,100419.46881591252,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-11,100446.06668323644,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-12,100500.61659641741,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-13,100546.52662565629,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-14,100575.86850108561,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-15,100580.26363300568,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-16,100602.02572294543,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-17,100600.28231722258,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-18,100551.51785745104,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-19,100551.55601122603,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-20,100412.95453133249,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-21,100469.06700600308,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-22,100586.85406116338,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-23,100553.9501972846,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-24,100474.65697849027,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-25,100426.86162978146,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-26,100393.98577065271,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-27,100529.03424605512,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-28,100563.05043789242,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-29,100467.1869681686,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-30,100347.96050337778,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-08-31,100344.22862232162,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-09-01,100431.15858541922,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-09-02,100418.16481291615,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-09-03,100447.67752163566,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-09-04,100493.3875218773,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-09-05,100466.38684354964,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-09-06,100515.3901678731,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019-09-07,100528.65715281869,"{""type"":""MultiPoint"",""coordinates"":[]}"
