system:index,date,precipitation,.geo
20190801,2019-08-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190802,2019-08-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190803,2019-08-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190804,2019-08-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190805,2019-08-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190806,2019-08-06,0.026565032107751765,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190807,2019-08-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190808,2019-08-08,0.027930122181428894,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190809,2019-08-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190810,2019-08-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190811,2019-08-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190812,2019-08-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190813,2019-08-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190814,2019-08-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190815,2019-08-15,1.3575838278667487,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190816,2019-08-16,1.9510809252220565,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190817,2019-08-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190818,2019-08-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190819,2019-08-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190820,2019-08-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190821,2019-08-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190822,2019-08-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190823,2019-08-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190824,2019-08-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190825,2019-08-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190826,2019-08-26,0.8367394748015622,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190827,2019-08-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190828,2019-08-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190829,2019-08-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190830,2019-08-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190831,2019-08-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190901,2019-09-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190902,2019-09-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190903,2019-09-03,1.94721861317937,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190904,2019-09-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190905,2019-09-05,1.3357991433565624,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190906,2019-09-06,0.2719406338096261,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190907,2019-09-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190908,2019-09-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190909,2019-09-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190910,2019-09-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190911,2019-09-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190912,2019-09-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190913,2019-09-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190914,2019-09-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190915,2019-09-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190916,2019-09-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190917,2019-09-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190918,2019-09-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190919,2019-09-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190920,2019-09-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190921,2019-09-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190922,2019-09-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190923,2019-09-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190924,2019-09-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190925,2019-09-25,0.1595363406261356,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190926,2019-09-26,3.4565406721873053,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190927,2019-09-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190928,2019-09-28,0.1988756409240339,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190929,2019-09-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190930,2019-09-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191001,2019-10-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191002,2019-10-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191003,2019-10-03,3.9568497499989874,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191004,2019-10-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191005,2019-10-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191006,2019-10-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191007,2019-10-07,1.1793187628435358,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191008,2019-10-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191009,2019-10-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191010,2019-10-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191011,2019-10-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191012,2019-10-12,0.09658227577642432,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191013,2019-10-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191014,2019-10-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191015,2019-10-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191016,2019-10-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191017,2019-10-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191018,2019-10-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191019,2019-10-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191020,2019-10-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191021,2019-10-21,0.020598476600878914,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191022,2019-10-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191023,2019-10-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191024,2019-10-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191025,2019-10-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191026,2019-10-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191027,2019-10-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191028,2019-10-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191029,2019-10-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191030,2019-10-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191031,2019-10-31,1.319168620972259,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191101,2019-11-01,5.2432058491492315,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191102,2019-11-02,4.5568964343154095,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191103,2019-11-03,2.952216447358066,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191104,2019-11-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191105,2019-11-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191106,2019-11-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191107,2019-11-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191108,2019-11-08,0.05678388190066519,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191109,2019-11-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191110,2019-11-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191111,2019-11-11,1.408589236769478,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191112,2019-11-12,3.249864210874353,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191113,2019-11-13,0.23528932118525359,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191114,2019-11-14,0.07430912055973143,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191115,2019-11-15,0.19008122865045704,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191116,2019-11-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191117,2019-11-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191118,2019-11-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191119,2019-11-19,0.13493563496346503,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191120,2019-11-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191121,2019-11-21,0.015002361037830711,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191122,2019-11-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191123,2019-11-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191124,2019-11-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191125,2019-11-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191126,2019-11-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191127,2019-11-27,0.6842371745135972,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191128,2019-11-28,0.15421991218764816,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191129,2019-11-29,1.445927852811789,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191130,2019-11-30,0.6025452538126789,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191201,2019-12-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191202,2019-12-02,4.2034664529994465,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191203,2019-12-03,3.7273149494544304,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191204,2019-12-04,5.721254921655302,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191205,2019-12-05,8.970162322401691,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191206,2019-12-06,4.673974711159534,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191207,2019-12-07,4.510585391026963,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191208,2019-12-08,0.6536841277511776,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191209,2019-12-09,6.663035603572091,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191210,2019-12-10,3.416380742613874,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191211,2019-12-11,3.703194137683286,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191212,2019-12-12,3.7463166609662166,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191213,2019-12-13,2.5413689370768053,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191214,2019-12-14,5.994965428356348,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191215,2019-12-15,5.1301265475138225,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191216,2019-12-16,8.84829315471095,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191217,2019-12-17,4.867467546894685,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191218,2019-12-18,1.155350915871187,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191219,2019-12-19,2.208419989643991,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191220,2019-12-20,2.3768509022530115,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191221,2019-12-21,3.829720595932831,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191222,2019-12-22,5.605562476334805,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223,2019-12-23,5.198885461797972,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191224,2019-12-24,5.985426424967406,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191225,2019-12-25,9.693862589480599,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191226,2019-12-26,3.556263745177389,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191227,2019-12-27,9.123472795278987,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191228,2019-12-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191229,2019-12-29,5.036268566995194,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191230,2019-12-30,2.844223018562998,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191231,2019-12-31,12.933010370372806,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200101,2020-01-01,15.97313711376162,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200102,2020-01-02,3.2095512911494137,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200103,2020-01-03,13.71827937312874,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200104,2020-01-04,11.22882574085544,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200105,2020-01-05,11.71204470157816,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200106,2020-01-06,19.885025551054635,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200107,2020-01-07,31.709198286172228,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200108,2020-01-08,12.215885418522216,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200109,2020-01-09,12.224344653384843,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200110,2020-01-10,4.689905095754355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200111,2020-01-11,3.7713364025915395,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112,2020-01-12,3.0698722195518995,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200113,2020-01-13,3.7015707726704723,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200114,2020-01-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200115,2020-01-15,1.1161572204830033,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200116,2020-01-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200117,2020-01-17,0.6959064219742429,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200118,2020-01-18,1.2618306135747934,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200119,2020-01-19,1.89617457729371,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200120,2020-01-20,25.628259488206158,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200121,2020-01-21,6.525176118248429,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122,2020-01-22,9.158089197579145,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200123,2020-01-23,0.332443201740019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200124,2020-01-24,0.9058223836986683,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200125,2020-01-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200126,2020-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127,2020-01-27,1.7848863322063804,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200128,2020-01-28,4.682763516395546,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200129,2020-01-29,0.8754214277913032,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200130,2020-01-30,34.643270755422996,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200131,2020-01-31,44.152670419984474,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200201,2020-02-01,27.9192335481596,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200202,2020-02-02,0.4582741949594015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200203,2020-02-03,6.003468340304297,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200204,2020-02-04,1.7783881758148805,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200205,2020-02-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200206,2020-02-06,7.644303671815333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200207,2020-02-07,18.039246811832612,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200208,2020-02-08,5.008989067564717,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200209,2020-02-09,23.786662834171604,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200210,2020-02-10,15.107099143866991,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200211,2020-02-11,15.168408933192904,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200212,2020-02-12,2.7887722243329764,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200213,2020-02-13,1.300511252314734,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200214,2020-02-14,5.4528339698079185,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200215,2020-02-15,8.303766563991779,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200216,2020-02-16,15.226962631062188,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200217,2020-02-17,14.58928073745952,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200218,2020-02-18,8.11997275951021,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200219,2020-02-19,19.815582902282333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200220,2020-02-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200221,2020-02-21,14.317611859917815,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200222,2020-02-22,25.74538946132405,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200223,2020-02-23,20.446079596138176,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200224,2020-02-24,0.09007098194457858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200225,2020-02-25,11.308948383735911,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200226,2020-02-26,6.225816154879438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200227,2020-02-27,6.6870761316477525,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200228,2020-02-28,5.090838838277548,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200229,2020-02-29,2.5456742070330396,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200301,2020-03-01,18.63421712522812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200302,2020-03-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200303,2020-03-03,0.33116581413878277,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200304,2020-03-04,19.40054117326977,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200305,2020-03-05,8.936260509130165,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200306,2020-03-06,39.38045465603115,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200307,2020-03-07,27.65643957875384,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200308,2020-03-08,12.72308743906865,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200309,2020-03-09,19.369369742065288,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200310,2020-03-10,2.960221903048049,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200311,2020-03-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200312,2020-03-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200313,2020-03-13,10.032590046233056,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200314,2020-03-14,2.5456673991694636,"{""type"":""MultiPoint"",""coordinates"":[]}"
